ID,Session,BackgroundContrast,Background,Side,SmallRingIdx,Setting,logBackC,logBC,logAM
S3,6,,80,-1,1,9,1.903089987,1.903089987,0.954242509
S3,6,,80,1,2,6,1.903089987,1.903089987,0.77815125
S3,7,,80,-1,1,7,1.903089987,1.903089987,0.84509804
S3,7,,80,1,2,4,1.903089987,1.903089987,0.602059991
S3,8,,80,-1,1,13,1.903089987,1.903089987,1.113943352
S3,8,,80,1,2,15,1.903089987,1.903089987,1.176091259
S3,9,,80,-1,1,1,1.903089987,1.903089987,0
S3,9,,80,1,2,6,1.903089987,1.903089987,0.77815125
S3,10,,80,-1,1,5,1.903089987,1.903089987,0.698970004
S3,10,,80,1,2,1,1.903089987,1.903089987,0
S3,11,,80,-1,1,-4,1.903089987,1.903089987,0.602059991
S3,11,,80,1,2,12,1.903089987,1.903089987,1.079181246
S3,12,,80,-1,1,9,1.903089987,1.903089987,0.954242509
S3,12,,80,1,2,18,1.903089987,1.903089987,1.255272505
S1,1,,-80,-1,1,-10,1.903089987,-1.903089987,1
S1,1,,-80,1,2,3,1.903089987,-1.903089987,0.477121255
S1,2,,-80,-1,1,-2,1.903089987,-1.903089987,0.301029996
S1,2,,-80,1,2,-4,1.903089987,-1.903089987,0.602059991
S1,3,,-80,-1,1,2,1.903089987,-1.903089987,0.301029996
S1,3,,-80,1,2,-3,1.903089987,-1.903089987,0.477121255
S1,4,,-80,-1,1,-1,1.903089987,-1.903089987,0
S1,4,,-80,1,2,-1,1.903089987,-1.903089987,0
S1,5,,-80,-1,1,2,1.903089987,-1.903089987,0.301029996
S1,5,,-80,1,2,-3,1.903089987,-1.903089987,0.477121255
S1,6,,-80,-1,1,-2,1.903089987,-1.903089987,0.301029996
S1,6,,-80,1,2,-4,1.903089987,-1.903089987,0.602059991
S1,7,,-80,-1,1,-10,1.903089987,-1.903089987,1
S1,7,,-80,1,2,3,1.903089987,-1.903089987,0.477121255
S1,8,,-80,-1,1,0,1.903089987,-1.903089987,#NUM!
S1,8,,-80,1,2,-3,1.903089987,-1.903089987,0.477121255
S1,9,,-80,-1,1,-1,1.903089987,-1.903089987,0
